pas accuracy,shooting,age,free_kick_accuracy,ball_control,balance,vision,jumping,strength,positioning,crossing,heading_accuracy,finishing
90,93,32,76,93,63,85,95,80,95,85,88,94
89,90,30,90,95,95,90,68,59,93,77,71,95
92,84,25,84,95,82,80,61,53,90,75,62,89
82,90,30,84,91,60,84,69,80,92,77,77,94
91,90,31,11,48,35,70,78,83,12,15,25,13
81,88,28,84,89,80,78,84,84,91,62,85,91
90,85,26,19,42,43,68,67,64,12,17,21,13
90,82,26,79,92,91,86,59,65,85,80,57,83
56,81,27,84,89,69,88,32,74,79,85,54,76
79,87,29,62,85,69,70,79,85,92,68,86,91
76,63,31,67,84,60,63,93,81,52,66,91,60
75,84,26,83,87,75,90,65,73,84,90,53,83
85,91,25,11,23,45,44,68,70,13,14,13,14
86,84,28,78,87,87,83,85,72,86,80,70,85
73,75,31,77,92,94,90,67,58,79,78,55,71
94,87,27,85,86,65,79,85,80,86,87,86,87
87,88,29,72,89,91,83,80,74,91,70,68,90
74,46,32,31,57,64,50,89,91,28,58,84,33
89,88,39,13,28,49,50,75,69,12,13,13,15
86,85,23,84,93,85,84,75,65,84,80,68,85
84,90,24,14,16,49,55,76,78,11,13,15,11
86,85,26,75,86,80,76,87,61,91,82,80,88
72,75,26,77,92,86,86,75,59,83,72,58,69
96,84,28,74,82,70,77,77,77,89,77,79,88
68,54,30,61,75,52,74,85,85,38,44,88,39
75,50,28,31,71,53,76,75,91,47,69,85,34
67,48,31,51,76,58,52,89,80,48,55,92,42
64,58,28,53,77,58,79,68,85,56,64,89,55
71,74,28,79,90,70,92,52,57,83,82,54,74
88,86,30,10,34,54,30,74,43,10,13,10,10
72,56,32,67,80,68,74,93,81,59,60,82,38
65,88,35,82,88,41,83,69,88,86,76,80,87
86,86,33,81,89,91,83,61,67,85,80,51,85
81,66,26,49,79,90,76,79,77,71,67,54,65
65,59,24,64,88,94,88,64,56,71,72,55,58
74,79,24,82,89,61,86,85,91,83,78,73,71
75,78,25,87,87,82,90,57,57,81,86,52,76
75,81,30,68,83,77,80,82,77,80,76,81,77
77,83,30,74,80,59,77,88,74,92,70,88,83
78,69,29,67,88,82,75,77,77,75,90,71,67
74,80,29,72,87,66,86,71,69,88,78,74,78
65,84,29,84,87,66,87,44,63,80,81,58,83
68,72,31,75,90,89,92,66,56,81,83,54,71
87,86,32,14,24,36,41,78,71,12,12,10,10
65,61,30,43,78,42,62,74,83,58,57,83,64
71,70,33,70,94,84,94,52,58,84,77,54,70
73,87,23,66,82,62,75,70,86,89,70,83,90
76,85,25,86,85,75,86,54,70,80,88,62,82
71,83,25,74,91,85,84,64,59,83,72,55,88
86,73,25,85,83,77,78,82,69,77,82,75,63
83,85,24,66,75,47,73,71,93,87,68,87,89
86,65,26,59,81,79,70,79,80,70,86,76,55
77,82,27,59,82,72,81,81,67,93,77,82,87
40,59,28,68,80,55,84,66,77,77,62,68,60
82,78,25,82,88,92,87,59,61,83,77,47,74
88,87,28,84,85,81,86,72,67,86,80,49,86
66,58,28,69,70,50,67,81,82,56,64,82,45
70,64,30,76,79,56,69,80,81,54,68,83,55
75,83,28,59,83,52,74,64,91,88,65,83,88
78,80,29,68,85,84,76,76,76,88,73,59,76
50,60,28,45,71,58,74,83,84,57,60,90,53
90,82,30,77,88,92,82,60,42,85,77,35,85
78,52,29,35,58,68,52,87,86,50,47,87,44
71,49,32,39,72,57,58,82,80,43,48,83,43
78,82,29,73,86,60,85,70,78,87,75,78,84
63,77,30,81,86,77,91,68,64,78,85,74,76
82,76,34,81,90,91,86,34,60,81,81,41,76
68,51,34,47,62,49,48,76,84,40,46,80,46
82,87,35,19,22,34,53,51,65,13,19,19,12
88,79,23,78,86,71,74,68,59,82,80,53,79
83,45,24,54,77,47,56,80,85,44,36,83,40
83,81,24,44,84,60,76,79,82,85,73,83,84
62,68,25,74,78,57,76,87,85,66,52,74,59
90,74,26,77,90,93,87,53,44,83,83,56,73
72,75,25,76,86,79,89,61,75,82,84,61,71
86,83,26,71,84,84,74,76,79,87,64,72,87
89,78,30,15,19,61,54,74,75,16,11,11,15
86,79,28,64,87,85,85,71,63,82,79,53,77
84,79,32,66,19,37,52,75,80,15,11,13,10
85,84,25,8,22,44,53,73,68,7,9,13,9
84,83,25,12,18,43,57,79,79,11,15,11,14
56,32,29,26,59,55,23,82,90,24,29,85,27
93,69,28,64,83,86,68,81,60,77,82,63,73
71,74,26,74,88,81,87,62,74,79,74,49,72
79,55,27,58,79,73,68,76,73,62,78,76,46
86,77,29,72,85,79,81,72,60,82,85,53,74
74,71,27,91,89,79,88,61,65,70,80,60,61
78,72,31,78,85,79,84,68,70,80,76,68,61
67,65,30,73,74,55,68,83,81,60,68,81,56
78,67,30,52,77,79,75,84,78,68,75,73,65
82,84,30,12,15,55,49,72,76,12,11,12,11
79,62,31,75,81,60,70,63,74,71,84,68,59
63,54,31,52,68,42,59,71,88,41,61,84,45
71,34,36,31,65,64,62,85,87,28,40,72,21
78,42,23,43,68,63,54,84,85,47,51,81,33
82,82,21,76,86,76,83,57,61,72,79,50,82
81,72,22,63,89,86,85,53,54,77,79,51,76
69,50,23,69,71,55,52,77,84,54,58,85,45
76,81,21,53,85,62,83,69,71,86,68,75,84
93,78,25,64,84,85,78,75,72,84,72,53,83
82,45,25,47,83,79,57,76,75,61,83,65,41
78,80,23,75,87,75,84,76,67,79,83,65,78
78,83,24,45,77,76,64,92,74,89,46,84,89
73,26,26,28,59,40,34,77,93,24,30,79,19
83,81,24,15,22,31,55,64,67,15,19,14,13
80,19,26,10,65,60,22,86,84,25,27,80,10
67,57,25,47,70,69,55,84,81,50,50,81,58
73,72,27,65,86,82,84,63,70,78,74,60,71
64,70,28,67,78,53,75,71,89,68,68,77,64
67,74,27,74,85,68,84,53,83,78,74,68,68
82,77,29,57,87,82,77,67,56,84,78,55,81
84,83,26,12,23,52,50,74,74,10,15,17,8
41,72,33,77,83,59,83,66,77,69,60,61,66
84,80,28,76,83,67,78,82,75,84,84,78,79
64,83,31,54,80,36,70,66,82,89,63,84,87
88,76,28,85,86,81,83,46,62,80,77,29,77
64,74,30,68,81,52,82,68,89,80,72,76,69
83,86,28,11,24,36,42,72,79,11,14,15,11
86,83,28,22,14,58,46,73,73,12,24,13,14
67,76,29,84,87,89,87,72,43,83,84,59,79
74,42,30,27,65,51,47,82,89,38,45,80,45
69,84,31,71,82,75,68,92,75,87,55,90,87
75,41,31,49,67,62,56,82,76,39,52,81,32
63,58,31,27,63,51,56,82,80,45,28,86,56
82,68,34,74,86,87,78,80,55,74,86,72,55
90,77,29,71,87,94,85,70,48,81,82,36,78
70,83,36,54,82,57,73,94,85,86,54,94,85
90,80,18,58,87,76,77,71,74,79,70,76,87
91,76,20,65,85,85,84,59,47,78,77,43,77
73,71,22,47,88,90,81,56,59,74,62,42,74
70,45,22,44,56,50,27,90,84,24,47,79,37
85,79,25,20,15,50,58,68,73,12,12,12,15
85,78,21,81,86,84,82,72,69,76,82,54,78
73,70,24,67,85,70,82,63,69,80,77,55,66
65,41,21,30,63,32,30,38,94,26,30,85,20
81,76,23,20,30,40,60,58,68,16,20,14,14
85,74,22,75,82,72,82,67,68,79,75,75,72
74,65,23,45,80,69,72,77,80,68,79,75,66
93,73,25,60,87,84,78,70,61,83,73,59,79
82,81,23,56,78,75,61,83,85,85,42,84,88
75,74,25,77,85,83,86,53,63,77,86,45,72
71,38,23,32,76,68,51,85,74,46,72,80,33
53,57,25,50,78,50,78,68,88,62,66,73,56
74,64,23,63,75,66,58,87,78,58,69,72,51
82,74,26,75,88,85,79,62,51,79,81,45,74
73,60,25,70,73,51,59,79,92,41,53,80,52
77,81,25,67,85,81,83,81,76,84,72,72,83
68,62,25,53,77,60,69,67,89,69,50,76,56
80,77,27,62,85,63,78,70,81,80,80,65,79
86,79,26,14,21,62,45,82,73,9,19,16,18
68,41,25,16,71,60,50,71,80,32,49,78,25
80,85,24,13,23,30,44,75,52,12,11,12,11
67,46,25,22,71,49,72,67,81,51,54,85,36
76,60,27,43,79,82,72,85,76,67,60,69,50
81,83,29,76,84,77,68,68,59,85,67,78,86
83,84,27,51,80,63,62,77,74,86,55,75,86
63,56,29,39,64,62,45,86,80,49,52,83,53
71,75,28,69,87,58,86,49,64,78,77,63,73
52,77,28,90,83,72,85,55,72,79,84,63,75
70,68,28,63,85,88,82,66,39,80,60,42,76
78,77,27,78,85,77,82,69,69,78,82,60,70
60,83,28,32,73,35,68,55,89,88,38,93,87
90,63,27,71,76,72,69,83,77,66,78,73,51
74,75,25,77,84,80,83,66,36,81,70,54,75
57,67,28,42,82,31,77,75,91,70,59,79,64
70,51,26,45,73,59,64,83,81,50,55,81,48
76,39,27,33,72,61,59,82,78,35,49,83,28
90,78,30,65,84,81,78,73,55,88,77,65,76
65,76,28,75,85,67,85,56,62,75,78,61,71
84,81,30,89,87,93,82,34,42,84,73,34,83
81,74,29,72,84,81,82,68,46,79,82,54,73
72,78,31,49,77,53,74,85,87,89,72,90,84
73,75,29,66,86,76,83,73,67,77,74,67,79
64,47,29,52,68,61,57,82,81,51,58,84,48
69,70,29,81,85,86,85,58,67,75,80,45,65
85,81,29,16,23,54,63,79,77,13,12,11,12
81,82,28,13,25,58,58,69,68,15,13,10,13
74,78,30,91,90,80,87,48,74,77,84,59,76
68,62,27,61,84,71,73,70,77,65,65,71,61
65,85,33,77,88,69,83,69,63,86,70,79,87
79,69,32,47,76,66,72,76,79,73,86,74,65
43,64,30,74,73,38,63,79,85,49,62,85,58
87,66,31,66,81,83,71,70,85,75,85,64,58
83,82,30,15,40,47,59,60,62,14,18,16,12
76,72,29,55,86,74,79,77,92,71,65,69,66
70,69,32,76,88,82,86,67,66,76,78,60,67
68,65,31,51,74,72,63,84,79,58,69,80,64
69,63,31,76,85,78,80,62,70,55,74,54,50
77,84,35,11,23,47,53,68,66,11,11,10,12
65,76,32,78,87,91,86,70,59,79,85,58,75
65,53,33,50,80,78,68,75,74,51,63,68,42
69,78,33,86,85,85,88,30,57,74,86,32,72
81,79,30,79,86,77,80,39,62,77,82,46,75
68,64,33,71,78,72,72,78,83,55,57,81,50
80,83,34,11,23,60,65,73,72,13,11,13,14
83,76,33,78,87,84,80,63,54,75,88,41,70
63,82,34,86,82,56,85,63,92,80,67,72,82
86,74,36,13,23,46,65,77,70,16,13,25,12
88,78,18,14,28,38,50,72,72,14,12,12,12
94,77,21,62,84,82,69,66,70,82,76,72,78
73,49,22,37,80,62,75,78,82,60,54,72,39
74,76,22,73,80,73,79,89,81,79,67,82,75
80,78,23,73,88,91,78,69,78,79,76,49,78
80,71,25,81,84,86,84,76,72,77,72,60,69
92,76,22,52,89,77,73,66,76,78,75,58,79
72,27,21,27,64,39,61,71,91,27,35,80,20
84,76,23,80,87,79,78,49,63,80,77,48,73
92,79,21,42,82,76,57,77,59,85,69,74,86
68,71,23,68,80,64,83,58,85,77,61,69,68
90,79,21,54,84,82,72,80,76,80,74,70,81
89,81,25,76,82,78,81,82,61,79,75,60,82
83,73,26,75,83,78,82,67,57,81,85,52,73
73,69,22,60,84,68,79,79,76,79,69,83,71
68,41,28,30,64,57,50,92,78,34,45,82,39
